brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group,brand_raw,model_raw
toyota,corolla,Toyota Corolla TS Station,95000.0,2021,1,98.0,0,hybrid,1.8,0,1,0,0,0,0,toyota,Budget,Toyota,Corolla
hyundai,i10,Hyundai i10,62000.0,2020,2,84.0,0,petrol,1.2,0,1,1,0,0,0,hyundai,Budget,Hyundai,i10
hyundai,i30,Hyundai i30,1500.0,2014,3,135.0,0,petrol,1.6,1,0,0,0,0,0,hyundai,Budget,Hyundai,i30
hyundai,bayon,Hyundai Bayon,114900.0,2023,1,100.0,0,petrol,1.0,0,0,0,0,1,1,hyundai,Budget,Hyundai,Bayon
chevrolet,silverado 3500,Chevrolet Silverado 3500,10000.0,2019,1,445.0,1,diesel,6.6,1,0,0,0,0,0,chevrolet,Budget,Chevrolet,Silverado 3500
suzuki,sx4,Suzuki SX4,10000.0,2008,3,107.0,0,petrol,1.6,0,1,0,0,0,0,suzuki,Budget,Suzuki,SX4
toyota,verso,Toyota Verso,2700.0,2014,3,147.0,0,petrol,1.8,1,0,0,0,0,0,toyota,Budget,Toyota,Verso
skoda,superb,Skoda Superb (2019 onwards),159000.0,2019,1,272.0,1,petrol,2.0,0,0,1,0,1,1,skoda,Budget,Skoda,Superb
skoda,octavia,Skoda Octavia,97900.0,2021,1,110.0,0,petrol,1.0,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
nissan,juke,Nissan Juke / Juke,58000.0,2019,1,113.0,0,petrol,1.6,0,1,1,0,0,0,nissan,Budget,Nissan,Juke
seat,ibiza,seat Ibiza,3000.0,2020,1,115.0,0,petrol,1.0,1,0,0,0,0,0,seat,Budget,Seat,Ibiza
mazda,3,Mazda 3,53000.0,2015,3,165.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,3
hyundai,elantra,Hyundai Elantra (2016 onwards),75000.0,2020,1,127.0,0,petrol,1.6,0,0,0,0,0,0,hyundai,Budget,Hyundai,Elantra
mazda,3,Mazda 3,12000.0,2009,2,105.0,0,petrol,1.6,0,0,0,0,0,0,mazda,Other,Mazda,3
hyundai,i30,Hyundai i30,16500.0,2010,3,126.0,0,petrol,1.6,0,0,0,0,0,0,hyundai,Budget,Hyundai,i30
fiat,500,Fiat 500,900.0,2013,3,69.0,0,petrol,1.2,0,0,0,0,0,0,fiat,Budget,Fiat,500
chevrolet,equinox,Chevrolet Equinox,144400.0,2022,1,170.0,0,electric,1.5,0,0,0,0,0,0,chevrolet,Budget,Chevrolet,Equinox
hyundai,accent,Hyundai Accent (up to 2012),7000.0,2007,2,112.0,0,petrol,1.6,0,0,0,0,0,0,hyundai,Budget,Hyundai,Accent
subaru,impreza,The new Subaru Impreza,28500.0,2015,3,114.0,0,petrol,1.6,0,0,0,0,0,0,subaru,Other,Subaru,Impreza
kia,sorento,Kia Sorento,112000.0,2019,1,188.0,0,petrol,2.4,0,0,0,0,0,0,kia,Budget,Kia,Sorento
hyundai,sonata hybrid,Hyundai Sonata Hybrid,77000.0,2018,2,154.0,0,hybrid,2.0,0,0,0,0,0,0,hyundai,Budget,Hyundai,Sonata Hybrid
kia,picanto,Kia Picanto,18000.0,2014,6,69.0,0,petrol,1.0,0,0,0,0,0,0,kia,Budget,Kia,Picanto
peugeot,2008,Peugeot 2008,48000.0,2019,3,110.0,0,petrol,1.2,0,0,0,0,0,0,peugeot,Other,Peugeot,2008
mazda,3,Mazda 3,1000.0,2011,5,150.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,3
mazda,cx-5,Mazda CX-5,51500.0,2014,3,155.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,CX-5
nissan,micra,Nissan Micra,13000.0,2010,4,90.0,0,petrol,1.4,0,0,0,0,0,0,nissan,Budget,Nissan,Micra
audi,q5,Audi Q5,58000.0,2013,3,225.0,1,petrol,2.0,0,0,0,0,0,0,audi,Luxury,Audi,Q5
audi,a6,Audi A6,21800.0,2010,5,170.0,0,petrol,2.0,0,0,0,0,0,0,audi,Luxury,Audi,A6
seat,toledo,Seat Toledo,28900.0,2015,4,125.0,0,petrol,1.4,0,0,0,0,0,0,seat,Budget,Seat,Toledo
skoda,octavia,Skoda Octavia,52000.0,2019,3,150.0,0,diesel,2.0,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
hyundai,santa fe,Hyundai Santa Fe,25000.0,2010,2,174.0,1,petrol,2.3,1,1,0,0,0,0,hyundai,Budget,Hyundai,Santa Fe
hyundai,accent/i25,The new Hyundai Accent/ i25 (2019 onwards),59000.0,2019,1,123.0,0,petrol,1.6,1,0,1,0,0,0,hyundai,Budget,Hyundai,Accent/i25
volkswagen,tiguan,Volkswagen Tiguan,27900.0,2010,3,170.0,1,petrol,2.0,0,1,0,0,0,0,volkswagen,Other,Volkswagen,Tiguan
chevrolet,spark,Chevrolet Spark,67000.0,2022,1,98.0,0,electric,1.4,0,1,1,0,0,0,chevrolet,Budget,Chevrolet,Spark
nissan,qashqai,Nissan Qashqai,3000.0,2019,2,130.0,0,diesel,1.6,0,1,1,0,0,0,nissan,Budget,Nissan,Qashqai
audi,a7,Audi A7,122000.0,2016,3,252.0,0,petrol,2.0,0,1,0,0,0,0,audi,Luxury,Audi,A7
alfa romeo,giulietta,Alfa Romeo Giulietta,56900.0,2017,0,170.0,0,petrol,1.4,0,0,0,0,0,0,alfa romeo,Other,Alfa Romeo,Giulietta
hyundai,i30,Hyundai i30,1100.0,2015,2,135.0,0,petrol,1.6,1,1,0,0,0,0,hyundai,Budget,Hyundai,i30
fiat,500x,Fiat 500X,35000.0,2016,2,140.0,0,petrol,1.4,0,1,1,0,0,0,fiat,Budget,Fiat,500X
renault,megane grand coupe,Renault Megane Grand Coupe,59999.0,2019,2,140.0,0,petrol,1.3,0,0,1,0,1,1,renault,Budget,Renault,Megane Grand Coupe
hyundai,i10,Hyundai i10,39900.0,2017,3,66.0,0,petrol,1.0,0,0,0,0,0,0,hyundai,Budget,Hyundai,i10
hyundai,i10,Hyundai i10,13000.0,2010,4,69.0,0,petrol,1.1,0,1,0,0,0,0,hyundai,Budget,Hyundai,i10
renault,megane,Renault Megane Coupe / Sport,6000.0,2022,1,116.0,0,petrol,1.5,0,1,0,0,1,1,renault,Budget,Renault,Megane
cupra,formentor,Copra formentor,182000.0,2021,2,310.0,1,petrol,2.0,0,1,0,0,1,1,cupra,Other,Cupra,Formentor
kia,rio,Kia Rio,24900.0,2012,3,109.0,0,petrol,1.4,1,1,0,0,0,0,kia,Budget,Kia,Rio
dodge,ram,Dodge Ram short,10000.0,2020,1,370.0,1,diesel,6.7,1,0,0,0,0,0,dodge,Other,Dodge,Ram
toyota,corolla,Toyota Corolla,48000.0,2015,2,132.0,0,petrol,1.6,1,0,0,1,0,0,toyota,Budget,Toyota,Corolla
nissan,qashqai,Nissan Qashqai,28000.0,2014,2,140.0,0,petrol,2.0,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai
peugeot,301,Peugeot 301,10000.0,2015,4,82.0,0,petrol,1.2,0,0,0,0,0,0,peugeot,Other,Peugeot,301
peugeot,2008,Peugeot 2008,110000.0,2021,2,136.0,0,electric,,0,0,0,0,0,0,peugeot,Other,Peugeot,2008
mitsubishi,outlander,Mitsubishi Outlander,88000.0,2017,2,150.0,0,petrol,2.0,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Outlander
opel,astra,Opel Astra,7999.0,2012,3,140.0,0,petrol,1.4,0,0,0,0,0,0,opel,Other,Opel,Astra
toyota,corolla hybrid,Toyota Corolla Hybrid,114000.0,2020,2,98.0,0,petrol,1.8,0,0,0,0,0,0,toyota,Budget,Toyota,Corolla Hybrid
mazda,3,Mazda 3,89999.0,2019,2,165.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,3
jeep,compass,Jeep Compass,98000.0,2019,1,170.0,1,petrol,1.4,0,0,0,0,0,0,jeep,Other,Jeep,Compass
nissan,patrol,Nissan Patrol,70000.0,2001,3,158.0,1,diesel,3.0,0,0,0,0,0,0,nissan,Budget,Nissan,Patrol
hyundai,tucson,Hyundai Tucson,86000.0,2016,1,155.0,0,petrol,2.0,0,0,0,0,0,0,hyundai,Budget,Hyundai,Tucson
mazda,3,Mazda 3,70000.0,2017,2,165.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,3
nissan,qashqai,Nissan Qashqai,32000.0,2013,3,140.0,0,petrol,2.0,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai
mitsubishi,pajero,Mitsubishi Pajero short,125000.0,2011,3,200.0,1,diesel,3.2,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Pajero
hyundai,elantra,Hyundai Elantra (2016 onwards),56000.0,2018,2,127.0,0,petrol,1.6,0,0,0,0,0,0,hyundai,Budget,Hyundai,Elantra
hyundai,veloster,Hyundai Veloster,40000.0,2012,6,186.0,0,petrol,1.6,0,0,0,0,0,0,hyundai,Budget,Hyundai,Veloster
nissan,qashqai,Nissan Qashqai,59000.0,2017,3,115.0,0,petrol,1.2,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai
audi,q5,Audi Q5,6100.0,2020,1,245.0,1,petrol,2.0,0,1,0,0,1,1,audi,Luxury,Audi,Q5
skoda,superb,Skoda Superb (until 2019),41500.0,2015,3,160.0,0,petrol,1.8,1,1,0,0,0,0,skoda,Budget,Skoda,Superb
jeep,grand cherokee,Jeep / Jeep Grand Cherokee,119000.0,2014,2,241.0,1,diesel,3.0,0,1,0,0,0,0,jeep,Other,Jeep,Grand Cherokee
volkswagen,polo gti,Volkswagen Polo GTI,72000.0,2017,7,192.0,0,petrol,1.8,0,1,1,0,0,0,volkswagen,Other,Volkswagen,Polo GTI
volkswagen,crafter,Volkswagen Crafter,156000.0,2023,0,177.0,0,diesel,2.0,0,0,1,0,1,1,volkswagen,Other,Volkswagen,Crafter
hyundai,sonata hybrid,Hyundai Sonata Hybrid,88000.0,2018,2,154.0,0,hybrid,2.0,0,1,1,0,0,0,hyundai,Budget,Hyundai,Sonata Hybrid
mazda,3,Mazda 3,79999.0,2017,1,165.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other,Mazda,3
toyota,verso,Toyota Spice Verso,28000.0,2012,4,99.0,0,petrol,1.3,1,0,0,1,0,0,toyota,Budget,Toyota,Verso
peugeot,108,Peugeot 108,25000.0,2016,2,69.0,0,petrol,1.0,0,0,1,1,0,0,peugeot,Other,Peugeot,108
mitsubishi,outlander,Mitsubishi Outlander,88000.0,2017,2,150.0,0,petrol,2.0,0,0,0,0,1,1,mitsubishi,Other,Mitsubishi,Outlander
kia,niro hybrid,Kia Niro Hybrid,79999.0,2019,2,141.0,0,hybrid,1.6,0,0,1,0,1,1,kia,Budget,Kia,Niro Hybrid
hyundai,ioniq,Hyundai Ioniq,84900.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,0,0,hyundai,Budget,Hyundai,Ioniq
mazda,6,Mazda 6,9999.0,2007,2,147.0,0,petrol,2.0,1,1,0,0,0,0,mazda,Other,Mazda,6
audi,a3,Audi A3,109900.0,2018,5,204.0,0,hybrid,1.4,0,0,1,0,1,1,audi,Luxury,Audi,A3
skoda,octavia,Skoda Octavia,63000.0,2017,1,110.0,0,petrol,1.2,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
skoda,kodiaq,Skoda Kodiaq,129999.0,2021,3,150.0,0,petrol,1.5,0,0,1,0,1,1,skoda,Budget,Skoda,Kodiaq
nissan,qashqai,Nissan Qashqai,27000.0,2009,3,140.0,0,petrol,2.0,0,1,0,0,0,0,nissan,Budget,Nissan,Qashqai
hyundai,tucson,Hyundai Tucson,135000.0,2021,1,180.0,0,petrol,1.6,0,0,0,0,1,1,hyundai,Budget,Hyundai,Tucson
hyundai,ioniq,Hyundai Ioniq,97000.0,2020,1,141.0,0,hybrid,1.6,0,0,1,0,0,0,hyundai,Budget,Hyundai,Ioniq
mazda,3,Mazda 3,59900.0,2019,2,165.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other,Mazda,3
kia,sportage,Kia Sportage,92000.0,2019,1,155.0,0,petrol,2.0,0,0,0,0,0,0,kia,Budget,Kia,Sportage
mazda,3,Mazda 3,2000.0,2008,3,105.0,0,petrol,1.6,0,0,0,0,0,0,mazda,Other,Mazda,3
mitsubishi,outlander,Mitsubishi Outlander,69000.0,2015,2,150.0,0,petrol,2.0,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Outlander
renault,kedgar,Renault Kedgar,61000.0,2019,2,116.0,0,diesel,1.5,0,0,0,0,0,0,renault,Budget,Renault,Kedgar
hyundai,i10,Hyundai i10,36000.0,2015,2,66.0,0,petrol,1.0,0,0,0,0,0,0,hyundai,Budget,Hyundai,i10
mazda,5,Mazda 5,40000.0,2012,3,145.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,5
peugeot,boxer,Peugeot Boxer,49900.0,2016,2,130.0,0,diesel,2.2,0,0,0,0,0,0,peugeot,Other,Peugeot,Boxer
kia,picanto,Kia Picanto,68500.0,2022,2,84.0,0,petrol,1.2,0,0,0,0,0,0,kia,Budget,Kia,Picanto
mitsubishi,attrage,Mitsubishi Atrage,25000.0,2015,3,80.0,0,petrol,1.2,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Atrage
chevrolet,traverse,Chevrolet Traverse,9000.0,2021,1,310.0,1,electric,3.6,0,0,0,0,0,0,chevrolet,Budget,Chevrolet,Traverse
jeep,grand cherokee,Jeep / Jeep Grand Cherokee,95000.0,2006,2,231.0,1,petrol,4.7,0,0,0,0,0,0,jeep,Other,Jeep,Grand Cherokee
kia,sorento,Kia Sorento,4000.0,2016,2,188.0,0,petrol,2.4,0,0,0,0,0,0,kia,Budget,Kia,Sorento
mazda,cx-5,Mazda CX-5,170000.0,2023,2,165.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,CX-5
citroen,c4 picasso,Citroen C4 Picasso,45000.0,2017,1,165.0,0,petrol,1.6,0,0,0,0,0,0,citroen,Other,Citroen,C4 Picasso
kia,sorento,Kia Sorento,5000.0,2017,2,188.0,0,petrol,2.4,0,0,0,0,0,0,kia,Budget,Kia,Sorento
volvo,s60,Volvo S60,174990.0,2018,2,367.0,1,petrol,2.0,0,0,0,0,0,0,volvo,Other,Volvo,S60
hyundai,santa fe,Hyundai Santa Fe,65000.0,2012,3,192.0,1,petrol,2.4,0,1,0,0,0,0,hyundai,Budget,Hyundai,Santa Fe
bmw,3 series,BMW 3 Series,52000.0,2013,3,184.0,0,petrol,2.0,0,1,0,1,0,0,bmw,Luxury,BMW,3 Series
toyota,land cruiser,Toyota Land Cruiser short,98000.0,2005,3,173.0,1,diesel,3.0,1,1,0,0,0,0,toyota,Budget,Toyota,Land Cruiser
seat,arona,Seat Arona,79900.0,2021,1,110.0,0,petrol,1.0,0,0,1,0,1,1,seat,Budget,Seat,Arona
skoda,octavia,Skoda Octavia,66500.0,2019,3,115.0,0,petrol,1.0,0,0,1,0,1,1,skoda,Budget,Skoda,Octavia
volkswagen,polo,Volkswagen - Polo,55000.0,2016,2,90.0,0,petrol,1.2,0,0,0,1,0,0,volkswagen,Other,Volkswagen,Polo
skoda,octavia,Skoda Octavia Spice,49900.0,2017,1,115.0,0,petrol,1.0,0,0,1,1,0,0,skoda,Budget,Skoda,Octavia
hyundai,sonata hybrid,Hyundai Sonata Hybrid,5000.0,2021,2,192.0,0,hybrid,2.0,0,0,1,0,0,0,hyundai,Budget,Hyundai,Sonata Hybrid
skoda,superb,Skoda Superb (until 2019),106000.0,2018,5,180.0,0,petrol,1.8,0,1,1,0,0,0,skoda,Budget,Skoda,Superb
bmw,x1,BMW X1,129000.0,2020,2,140.0,0,petrol,1.5,0,1,1,0,0,0,bmw,Luxury,BMW,X1
seat,leon,Seat Leon,3000.0,2019,2,150.0,0,petrol,1.5,0,0,1,0,1,1,seat,Budget,Seat,Leon
mitsubishi,lancer,Mitsubishi Lancer the new generation,15900.0,2011,3,109.0,0,petrol,1.5,1,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Lancer
buick,lucerne,Buick Lucerne,19900.0,2007,3,197.0,0,petrol,3.8,1,1,0,0,0,0,buick,Other,Buick,Lucerne
toyota,yaris hybrid,Toyota Yaris Hybrid,75000.0,2019,1,98.0,0,petrol,1.5,0,1,1,0,0,0,toyota,Budget,Toyota,Yaris Hybrid
mazda,3,Mazda 3,46500.0,2014,2,165.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other,Mazda,3
fiat,ducato,Fiat Ducato short/medium,105000.0,2019,1,180.0,0,diesel,2.3,1,0,0,0,0,0,fiat,Budget,Fiat,Ducato
mitsubishi,outlander,Mitsubishi Outlander,95000.0,2018,2,150.0,0,petrol,2.0,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Outlander
toyota,rav4,Toyota RAV4 is long,85000.0,2016,2,152.0,1,petrol,2.0,0,0,0,0,0,0,toyota,Budget,Toyota,RAV4
chevrolet,spark,Chevrolet Spark,11500.0,2015,3,68.0,0,electric,1.0,0,0,0,0,0,0,chevrolet,Budget,Chevrolet,Spark
nissan,qashqai,Nissan Qashqai Plus 2,42000.0,2011,2,140.0,1,petrol,2.0,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai Plus 2
seat,leon,Seat Leon,78000.0,2015,3,180.0,0,petrol,1.8,0,0,0,0,0,0,seat,Budget,Seat,Leon
seat,ibiza,seat Ibiza,1000.0,2009,5,105.0,0,petrol,1.6,0,0,0,0,0,0,seat,Budget,Seat,Ibiza
geely,geometry c,Geely - Geely Geometry C,139000.0,2022,1,204.0,0,electric,,0,0,0,0,0,0,geely,Other,Geely,Geely Geometry C
mazda,2,Mazda 2,72000.0,2018,2,112.0,0,petrol,1.5,0,0,0,0,0,0,mazda,Other,Mazda,2
peugeot,2008,Peugeot 2008,10000.0,2021,1,130.0,0,petrol,1.2,0,0,0,0,0,0,peugeot,Other,Peugeot,2008
kia,ceed,Kia CEED / CEED,2100.0,2017,3,135.0,0,petrol,1.6,0,0,0,0,0,0,kia,Budget,Kia,CEED
nissan,qashqai,Nissan Qashqai,110000.0,2021,1,115.0,0,diesel,1.5,0,0,0,0,0,0,nissan,Budget,Nissan,Qashqai
mitsubishi,asx,Mitsubishi ASX,80000.0,2018,2,150.0,0,petrol,2.0,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,ASX
audi,s5,Audi S5,226000.0,2018,2,354.0,1,petrol,3.0,0,0,0,0,0,0,audi,Luxury,Audi,S5
peugeot,107,Peugeot 107,7000.0,2009,3,70.0,0,petrol,1.0,0,0,0,0,0,0,peugeot,Other,Peugeot,107
volkswagen,passat,Volkswagen Passat,34900.0,2013,5,160.0,0,petrol,1.8,0,0,0,0,0,0,volkswagen,Other,Volkswagen,Passat
mazda,3,Mazda 3,90000.0,2020,1,165.0,0,petrol,2.0,0,1,1,0,0,0,mazda,Other,Mazda,3
audi,q5,Audi Q5,42000.0,2010,6,211.0,1,petrol,2.0,1,1,0,0,0,0,audi,Luxury,Audi,Q5
seat,ibiza,seat Ibiza,43000.0,2017,2,110.0,0,petrol,1.0,0,1,0,1,0,0,seat,Budget,Seat,Ibiza
skoda,superb,Skoda Superb (until 2019),94900.0,2017,1,150.0,0,petrol,1.4,0,0,1,0,1,1,skoda,Budget,Skoda,Superb
chevrolet,traverse,Chevrolet Traverse,44900.0,2012,2,288.0,1,electric,3.6,0,1,0,0,0,0,chevrolet,Budget,Chevrolet,Traverse
infiniti,ex37,Infiniti QX50 / EX37,10900.0,2019,2,268.0,1,petrol,2.0,0,1,0,0,1,1,infiniti,Other,Infiniti,Infiniti EX37
mazda,6,Mazda 6,105000.0,2019,2,195.0,0,petrol,2.5,0,0,1,0,1,1,mazda,Other,Mazda,6
kia,sportage,Kia Sportage,84000.0,2017,2,155.0,0,petrol,2.0,0,1,1,0,0,0,kia,Budget,Kia,Sportage
cadillac,xt4,Cadillac XT4,129999.0,2019,2,,0,petrol,2.0,0,0,1,0,1,1,cadillac,Luxury,Cadillac,XT4
dacia,duster,The new Dacia Duster,65900.0,2021,1,116.0,0,diesel,1.5,0,0,1,1,0,0,dacia,Budget,Dacia,Duster
peugeot,2008,Peugeot 2008,85990.0,2021,1,130.0,0,petrol,1.2,0,0,1,0,1,1,peugeot,Other,Peugeot,2008
kia,niro hybrid,Kia Niro Hybrid,104999.0,2020,1,141.0,0,hybrid,1.6,0,0,1,0,1,1,kia,Budget,Kia,Niro Hybrid
nissan,qashqai,Nissan Qashqai,58900.0,2018,2,115.0,0,petrol,1.2,0,1,1,0,0,0,nissan,Budget,Nissan,Qashqai
audi,q7,Audi Q7,199000.0,2017,2,272.0,1,diesel,3.0,0,1,0,1,0,0,audi,Luxury,Audi,Q7
audi,q3,Audi Q3,69000.0,2015,4,170.0,0,petrol,2.0,1,1,0,0,0,0,audi,Luxury,Audi,Q3
mazda,cx-30,Mazda CX-30,123900.0,2021,1,195.0,0,petrol,2.5,0,1,1,0,0,0,mazda,Other,Mazda,CX-30
opel,astra,Opel Astra,19900.0,2013,3,140.0,0,petrol,1.4,1,0,0,0,0,0,opel,Other,Opel,Astra
hyundai,tucson,Hyundai Tucson,97000.0,2018,2,155.0,0,petrol,2.0,0,0,0,0,0,0,hyundai,Budget,Hyundai,Tucson
lexus,is300h,Lexus IS300h,125000.0,2018,3,181.0,0,hybrid,2.5,0,0,0,0,0,0,lexus,Luxury,Lexus,IS300h
chevrolet,trax,Chevrolet Trax,28000.0,2015,3,140.0,0,electric,1.4,0,0,0,0,0,0,chevrolet,Budget,Chevrolet,Trax
hyundai,i25,Hyundai i25,26000.0,2013,1,109.0,0,petrol,1.4,0,0,0,0,0,0,hyundai,Budget,Hyundai,i25
subaru,crosstrek,Subaru XV,52000.0,2014,2,150.0,1,petrol,2.0,0,0,0,0,0,0,subaru,Other,Subaru,XV
ford,edge,Ford Edge / EDGE,19900.0,2020,1,248.0,0,petrol,2.0,0,0,0,0,0,0,ford,Other,Ford,Edge
peugeot,308,Peugeot 308,20900.0,2015,2,130.0,0,petrol,1.2,0,0,0,0,0,0,peugeot,Other,Peugeot,308
kia,picanto,Kia Picanto,53000.0,2019,2,84.0,0,petrol,1.2,0,0,0,0,0,0,kia,Budget,Kia,Picanto
hyundai,i30,Hyundai i30,1800.0,2009,4,126.0,0,petrol,1.6,0,0,0,0,0,0,hyundai,Budget,Hyundai,i30
kia,niro hybrid,Kia Niro Hybrid,68000.0,2018,3,141.0,0,hybrid,1.6,0,0,0,0,0,0,kia,Budget,Kia,Niro Hybrid
skoda,octavia,Skoda Octavia Spice,72000.0,2019,2,150.0,0,petrol,1.5,0,0,0,0,0,0,skoda,Budget,Skoda,Octavia
peugeot,2008,Peugeot 2008,1000.0,2016,2,110.0,0,petrol,1.2,0,0,0,0,0,0,peugeot,Other,Peugeot,2008
dacia,lodge,Dacia Lodge,46444.0,2017,3,109.0,0,diesel,1.5,0,0,0,0,0,0,dacia,Budget,Dacia,Lodge
toyota,verso,Toyota Verso,25900.0,2011,3,147.0,0,petrol,1.8,0,0,0,0,0,0,toyota,Budget,Toyota,Verso
mercedes-benz,e-class,Mercedes E-Class,169000.0,2017,3,211.0,0,hybrid,2.0,0,0,1,0,1,1,mercedes,Luxury,Mercedes,E-Class
nissan,x-trail,Nissan X-Trail,96500.0,2020,1,150.0,0,diesel,1.7,0,1,1,0,0,0,nissan,Budget,Nissan,X-Trail
bmw,3 series,BMW 3 Series,179900.0,2021,2,156.0,0,petrol,2.0,0,1,1,0,0,0,bmw,Luxury,BMW,3 Series
jeep,wrangler,Jeep / Jeep Wrangler short,175000.0,2018,3,280.0,1,petrol,3.6,1,1,0,0,0,0,jeep,Other,Jeep,Jeep Wrangler
chevrolet,spark,Chevrolet Spark,40000.0,2016,1,98.0,0,electric,1.4,0,1,1,0,0,0,chevrolet,Budget,Chevrolet,Spark
toyota,corolla hybrid,Toyota Corolla Hybrid,85000.0,2019,2,98.0,0,petrol,1.8,0,0,1,0,1,1,toyota,Budget,Toyota,Corolla Hybrid
bmw,3 series,BMW 3 Series,209900.0,2020,1,184.0,0,hybrid,2.0,0,1,0,0,0,0,bmw,Luxury,BMW,3 Series
mitsubishi,pajero,Mitsubishi Pajero long,129900.0,2012,3,200.0,1,diesel,3.2,1,1,0,0,0,0,mitsubishi,Other,Mitsubishi,Pajero
kia,forte,Kia Forte,34000.0,2017,3,136.0,0,diesel,1.6,1,0,1,0,0,0,kia,Budget,Kia,Forte
nissan,x-trail,Nissan X-Trail,98000.0,2018,2,130.0,0,diesel,1.6,0,1,1,0,0,0,nissan,Budget,Nissan,X-Trail
seat,ibiza,seat Ibiza,60000.0,2018,1,95.0,0,petrol,1.0,0,0,1,1,0,0,seat,Budget,Seat,Ibiza
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),47000.0,2018,2,75.0,0,diesel,1.6,0,0,1,1,0,0,citroen,Other,Citroen,Berlingo
kia,sportage,Kia Sportage,92991.0,2020,3,177.0,0,petrol,1.6,0,1,1,0,0,0,kia,Budget,Kia,Sportage
mazda,cx-5,Mazda CX-5,49990.0,2014,2,155.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other,Mazda,CX-5
mini,one,MINI ONE,89000.0,2019,1,102.0,0,petrol,1.5,0,0,1,1,0,0,mini,Other,MINI,ONE
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),47900.0,2016,2,100.0,0,diesel,1.6,0,0,1,1,0,0,citroen,Other,Citroen,Berlingo
mercedes-benz,gla,Mercedes GLA,10000.0,2024,0,136.0,0,petrol,1.3,0,1,1,0,0,0,mercedes,Luxury,Mercedes,GLA
hyundai,i20,Hyundai i20,57000.0,2019,2,100.0,0,petrol,1.0,0,1,1,0,0,0,hyundai,Budget,Hyundai,i20
mercedes-benz,e-class,Mercedes E-Class,92000.0,2012,4,231.0,0,petrol,3.0,0,0,0,0,0,0,mercedes,Luxury,Mercedes,E-Class
skoda,octavia,Skoda Octavia,32000.0,2014,2,105.0,0,petrol,1.2,0,0,0,0,0,0,skoda,Budget,Skoda,Octavia
kia,picanto,Kia Picanto,27000.0,2014,2,85.0,0,petrol,1.2,0,0,0,0,0,0,kia,Budget,Kia,Picanto
toyota,yaris,Toyota Yaris,2000.0,2004,1,87.0,0,petrol,1.3,0,0,0,0,0,0,toyota,Budget,Toyota,Yaris
bmw,3 series,BMW 3 Series,10000.0,2022,1,163.0,0,petrol,2.0,0,0,0,0,0,0,bmw,Luxury,BMW,3 Series
tesla,model 3,Tesla Model 3,189000.0,2021,1,498.0,1,electric,,0,1,0,1,1,1,tesla,Luxury,Tesla,Model 3
mazda,3,Mazda 3,96000.0,2019,2,165.0,0,petrol,2.0,0,0,0,0,0,0,mazda,Other,Mazda,3
mercedes-benz,a-class,Mercedes A-Class,52000.0,2013,3,122.0,0,petrol,1.6,0,0,0,0,0,0,mercedes,Luxury,Mercedes,A-Class
suzuki,swift,Suzuki Swift,19500.0,2008,2,101.0,0,petrol,1.5,0,0,0,0,0,0,suzuki,Budget,Suzuki,Swift
skoda,fabia,Skoda Fabia Spice,30000.0,2015,2,110.0,0,petrol,1.2,0,0,0,0,0,0,skoda,Budget,Skoda,Fabia
suzuki,jimny,Suzuki Jimny,49900.0,2009,2,85.0,1,petrol,1.3,0,0,0,0,0,0,suzuki,Budget,Suzuki,Jimny
hyundai,i25,Hyundai i25,28990.0,2012,3,109.0,0,petrol,1.4,0,0,0,0,0,0,hyundai,Budget,Hyundai,i25
