brand,model,corrected_brand,corrected_model
citroen,ds ds3,ds,ds3
citroen,ds ds3 crossback,ds,ds3 crossback
citroen,ds ds7 crossback,ds,ds7 crossback
citroen,e-c4,citroen,e-c4
citroen,ec4,citroen,e-c4
citroen,jumpy,citroen,jumpy
citroen,jumpy shortmedium,citroen,jumpy
cupra,atka,cupra,ateca
cupra,borne,cupra,born
cupra,formentor,cupra,formentor
cupra,leon,cupra,leon
dacia,duster,dacia,duster
dacia,jogger,dacia,jogger
dacia,lodge,dacia,lodge
dacia,logan / mcv,dacia,logan mcv
dacia,logan mcv,dacia,logan mcv
dacia,sandro,dacia,sandero
dacia,sandro stepway,dacia,sandero stepway
dacia,spring,dacia,spring
dacia,stabs,dacia,unknown
dacia,unknown,dacia,unknown
daihatsu,materia,daihatsu,materia
daihatsu,sirion,daihatsu,sirion
daihatsu,trios,daihatsu,unknown
daihatsu,yrv,daihatsu,yrv
dodge,caliber,dodge,caliber
dodge,durango,dodge,durango
dodge,grand caravan,dodge,grand caravan
dodge,journey,dodge,journey
dodge,nitro,dodge,nitro
dodge,ram,dodge,ram
dodge,ram short,dodge,ram short
ds,ds ds3 crossback,ds,ds 3 crossback
ds,ds7 crossback,ds,ds 7 crossback
eveasy,limo,eveasy,limo
fiat,500,fiat,500
fiat,500c,fiat,500c
fiat,500l,fiat,500l
fiat,500x,fiat,500x
fiat,doblo,fiat,doblo
fiat,ducato,fiat,ducato
fiat,fiorino,fiat,fiorino
fiat,fullback,fiat,fullback
fiat,panda,fiat,panda
fiat,punto evo,fiat,punto evo
fiat,punto evo generation iii facelift,fiat,punto evo generation iii facelift
fiat,punto grande,fiat,punto grande
fiat,punto grande generation iii,fiat,punto grande generation iii
fiat,qubo,fiat,qubo
fiat,tipo,fiat,tipo
ford,edge,ford,edge
ford,escort,ford,escort
ford,explorer,ford,explorer
ford,f-250,ford,f-250
ford,f-350,ford,f-350
ford,f350,ford,f-350
ford,fiesta,ford,fiesta
ford,focus,ford,focus
ford,galaxy,ford,galaxy
ford,kuga,ford,kuga
ford,mondeo,ford,mondeo
ford,mustang,ford,mustang
ford,mustang mach e,ford,mustang mach-e
ford,puma,ford,puma
ford,s-max,ford,s-max
ford,smax,ford,s-max
ford,tourneo connect,ford,tourneo connect
ford,transit,ford,transit
ford,transit custom,ford,transit custom
gac,ge3,gac,ge3
geely,geely geometry c,geely,geometry c
geely,geometry c,geely,geometry c
genesis,g80,genesis,g80
gmc,gmc hummer ev,gmc,hummer ev
gmc,gmc sierra 4x4,gmc,sierra 4x4
gmc,gmc yukon denali,gmc,yukon denali
gmc,hummer ev,gmc,hummer ev
gmc,yukon denali,gmc,yukon denali
great wall,c10,great wall,c10
honda,accord,honda,accord
honda,city,honda,city
honda,civic,honda,civic
honda,civic hybrid,honda,civic hybrid
honda,civic up to 2006,honda,civic
honda,cr-v,honda,cr-v
honda,crv,honda,cr-v
honda,fr-v,honda,fr-v
honda,frv,honda,fr-v
honda,honda city,honda,city
honda,hr-v,honda,hr-v
honda,hrv,honda,hr-v
honda,insight,honda,insight
honda,jazz,honda,jazz
honda,jazz hybrid,honda,jazz hybrid
honda,legend,honda,legend
honda,odyssey,honda,odyssey
honda,prelude,honda,prelude
hyundai,accent,hyundai,accent
hyundai,accent up to 2012,hyundai,accent up to 2012
hyundai,accent/i25,hyundai,accent/i25
hyundai,and new,hyundai,and new
hyundai,atos,hyundai,atos
hyundai,bayon,hyundai,bayon
hyundai,buys,hyundai,buys
hyundai,elantra,hyundai,elantra
hyundai,elantra 2016 onwards,hyundai,elantra 2016 onwards
hyundai,elantra hybrid,hyundai,elantra hybrid
hyundai,elantra hybrid 2021 onwards,hyundai,elantra hybrid 2021 onwards
hyundai,ev,hyundai,ev
hyundai,getz,hyundai,getz
hyundai,h1,hyundai,h1
hyundai,h350,hyundai,h350
hyundai,i10,hyundai,i10
hyundai,i20,hyundai,i20
hyundai,i20 cross,hyundai,i20
hyundai,i25,hyundai,i25
hyundai,i30,hyundai,i30
hyundai,i30cw,hyundai,i30
hyundai,i35,hyundai,i35
hyundai,i40,hyundai,i40
hyundai,i800,hyundai,i800
hyundai,ioniq,hyundai,ioniq
hyundai,ioniq 5,hyundai,ioniq 5
hyundai,ioniq 6,hyundai,ioniq 6
hyundai,is buying an ev,hyundai,is buying an ev
hyundai,ix35,hyundai,ix35
hyundai,matrix,hyundai,matrix
hyundai,palisade,hyundai,palisade
hyundai,santa fe,hyundai,santa fe
hyundai,sonata,hyundai,sonata
hyundai,sonata hybrid,hyundai,sonata hybrid
hyundai,tarakan,hyundai,tarakan
hyundai,tucson,hyundai,tucson
hyundai,unknown,hyundai,unknown
hyundai,veloster,hyundai,veloster
infiniti,g37,infiniti,g37
infiniti,infiniti ex37,infiniti,ex37
infiniti,q30,infiniti,q30
infiniti,q50,infiniti,q50
infiniti,q60,infiniti,q60
infiniti,q70 / m37,infiniti,q70
infiniti,q70 m37,infiniti,q70
infiniti,qx30,infiniti,qx30
infiniti,qx50 ex37,infiniti,qx50
infiniti,qx55,infiniti,qx55
infiniti,qx60,infiniti,qx60
infiniti,qx70,infiniti,qx70
infiniti,qx70 fx37,infiniti,qx70
isuzu,2x4 dmax,isuzu,d-max
isuzu,4x4 d-max,isuzu,d-max
isuzu,4x4 dmax,isuzu,d-max
isuzu,d-max,isuzu,d-max
isuzu,iphone 2x4,isuzu,unknown
isuzu,iphone 4x4,isuzu,unknown
isuzu,long trooper,isuzu,unknown
isuzu,rodeo,isuzu,rodeo
isuzu,trooper,isuzu,trooper
isuzu,unknown,isuzu,unknown
iveco,daily,iveco,daily
jac,es2,jac,es2
jaguar,e-pace,jaguar,e-pace
jaguar,epace,jaguar,e-pace
jaguar,f-type,jaguar,f-type
jaguar,fpace,jaguar,f-pace
jaguar,ftype,jaguar,f-type
jaguar,stype,jaguar,unknown
jaguar,xe,jaguar,xe
jaguar,xf,jaguar,xf
jaguar,xj,jaguar,xj
jeep,cherokee,jeep,cherokee
jeep,compass,jeep,compass
jeep,grand cherokee,jeep,grand cherokee
jeep,grand cherokee up to 2004,jeep,grand cherokee up to 2004
jeep,jeep cherokee,jeep,cherokee
jeep,jeep commander,jeep,commander
jeep,jeep liberty,jeep,liberty
jeep,jeep renegade,jeep,renegade
jeep,jeep wrangler,jeep,wrangler
jeep,liberty until 2013,jeep,liberty until 2013
jeep,patriot,jeep,patriot
jeep,renegade,jeep,renegade
jeep,wrangler,jeep,wrangler
kia,carens,kia,carens
kia,carnival,kia,carnival
kia,ceed,kia,ceed
kia,forte,kia,forte
kia,magentis,kia,magentis
kia,niro,kia,niro
kia,niro ev,kia,niro ev
kia,niro hybrid,kia,niro hybrid
kia,niro phev,kia,niro phev
kia,niro plus,kia,niro plus
kia,optima,kia,optima
kia,picanto,kia,picanto
kia,rio,kia,rio
kia,seltos,kia,seltos
kia,sorento,kia,sorento
kia,soul,kia,soul
kia,sportage,kia,sportage
kia,stonic,kia,stonic
kia,supertruck,kia,supertruck
kia,xceed,kia,xceed
lancia,epsilon,lancia,epsilon
land rover,defender,land rover,defender
land rover,discovery 1,land rover,discovery 1
land rover,discovery 3,land rover,discovery 3
land rover,discovery 4,land rover,discovery 4
land rover,discovery 5,land rover,discovery 5
land rover,discovery sport,land rover,discovery sport
land rover,range rover,land rover,range rover
land rover,range rover evoque,land rover,range rover evoque
land rover,range rover sport,land rover,range rover sport
land rover,rover discovery 4,land rover,discovery 4
land rover,rover discovery 5,land rover,discovery 5
land rover,rover discovery sport,land rover,discovery sport
land rover,rover freelander 1,land rover,freelander 1
land rover,rover range,land rover,range
land rover,rover range evoque,land rover,range rover evoque
land rover,rover range sport,land rover,range rover sport
leap motor,t03,leap motor,t03
leapmotor,t03,leap motor,t03
lexus,ct200h,lexus,ct200h
lexus,es300h,lexus,es300h
lexus,gs300,lexus,gs300
lexus,gs300h,lexus,gs300h
lexus,gs450h,lexus,gs450h
lexus,is250,lexus,is250
lexus,is300,lexus,is300
lexus,is300h,lexus,is300h
lexus,ls460,lexus,ls460
lexus,nx,lexus,nx
lexus,rx330,lexus,rx330
lexus,rx350,lexus,rx350
lexus,rx450h,lexus,rx450h
lexus,ux,lexus,ux
lynk&co,01,lynk&co,01
lynk&co,lynk co 01,lynk&co,01
maserati,ghibli,maserati,ghibli
maserati,levante,maserati,levante
maxus,deliver 3,maxus,deliver 3
maxus,e-uniq 6,maxus,euniq 6
maxus,euniq 5,maxus,euniq 5
maxus,euniq 6,maxus,euniq 6
mazda,121,mazda,121
mazda,2,mazda,2
mazda,2 damio,mazda,2
mazda,3,mazda,3
mazda,323,mazda,323
mazda,323 antis,mazda,323
mazda,5,mazda,5
mazda,6,mazda,6
mazda,626,mazda,626
mazda,b2500,mazda,b2500
mazda,b2500 4x4,mazda,b2500 4x4
mazda,bt50,mazda,bt-50
mazda,bt50 2x4,mazda,bt-50 2x4
mazda,cx-3,mazda,cx-3
mazda,cx-30,mazda,cx-30
mazda,cx-5,mazda,cx-5
mazda,cx3,mazda,cx-3
mazda,cx30,mazda,cx-30
mazda,cx5,mazda,cx-5
mazda,damio,mazda,demio
mazda,demio,mazda,demio
mazda,farmacy,mazda,farmacy
mazda,mpv,mazda,mpv
mazda,mx-5,mazda,mx-5
mazda,mx30,mazda,mx-30
mazda,mx5,mazda,mx-5
mazda,xedos,mazda,xedos
mercedes,316,mercedes-benz,316
mercedes,a,mercedes-benz,a
mercedes,a-class,mercedes-benz,a-class
mercedes,ario,mercedes-benz,ario
mercedes,b-class,mercedes-benz,b-class
mercedes,bclass,mercedes-benz,b-class
mercedes,bclass taxi,mercedes-benz,b-class taxi
mercedes,c,mercedes-benz,c
mercedes,c-class,mercedes-benz,c-class
mercedes,cclass taxi,mercedes-benz,c-class taxi
mercedes,cla,mercedes-benz,cla
mercedes,clk,mercedes-benz,clk
mercedes,cls,mercedes-benz,cls
mercedes,e,mercedes-benz,e
mercedes,e-class,mercedes-benz,e-class
mercedes,eclass taxi,mercedes-benz,e-class taxi
mercedes,eqa,mercedes-benz,eqa
mercedes,eqc,mercedes-benz,eqc
mercedes,eqs,mercedes-benz,eqs
mercedes,gl,mercedes-benz,gl
mercedes,gl class,mercedes-benz,gl-class
mercedes,gla,mercedes-benz,gla
mercedes,glb,mercedes-benz,glb
mercedes,glc,mercedes-benz,glc
mercedes,glc-class coupe,mercedes-benz,glc coupe
mercedes,gle,mercedes-benz,gle
mercedes,gle coupe,mercedes-benz,gle coupe
mercedes,glk class,mercedes-benz,glk
mercedes,gls class,mercedes-benz,gls
mercedes,gt amg,mercedes-benz,gt
mercedes,ml class,mercedes-benz,ml
mercedes,s-class,mercedes-benz,s-class
mercedes,s-class coupe,mercedes-benz,s-class coupe
mercedes,sclass,mercedes-benz,s-class
mercedes,sclass coupe,mercedes-benz,s-class coupe
mercedes,sl,mercedes-benz,sl
mercedes,slk,mercedes-benz,slk
mercedes,sprinter,mercedes-benz,sprinter
mercedes,sprinter 313316,mercedes-benz,sprinter 313316
mercedes,sprinter commercial,mercedes-benz,sprinter
mercedes,vclass,mercedes-benz,v-class
mercedes,viano,mercedes-benz,viano
mercedes,vito,mercedes-benz,vito
mini,cooper,mini,cooper
mini,cooper cabriolet,mini,cooper cabriolet
mini,countryman,mini,countryman
mini,jcw,mini,jcw
mini,one,mini,one
mitsubishi,asx,mitsubishi,asx
mitsubishi,atrage,mitsubishi,attrage
mitsubishi,eclipse,mitsubishi,eclipse
mitsubishi,eclipse cross,mitsubishi,eclipse cross
mitsubishi,grandis,mitsubishi,grandis
mitsubishi,l200,mitsubishi,l200
mitsubishi,l200 hunter 2x4,mitsubishi,l200 hunter 2x4
mitsubishi,l200 hunter 4x4,mitsubishi,l200 hunter 4x4
mitsubishi,lancer,mitsubishi,lancer
mitsubishi,lancer classic,mitsubishi,lancer classic
mitsubishi,lancer sportback,mitsubishi,lancer sportback
mitsubishi,magnum 4x4,mitsubishi,magnum 4x4
mitsubishi,outlander,mitsubishi,outlander
mitsubishi,outlander phev,mitsubishi,outlander phev
mitsubishi,pajero,mitsubishi,pajero
mitsubishi,space star,mitsubishi,space star
mitsubishi,triton / l200 2x4,mitsubishi,triton
mitsubishi,triton / l200 4x4,mitsubishi,triton
mitsubishi,triton l200 2x4,mitsubishi,triton
mitsubishi,triton l200 4x4,mitsubishi,triton
nissan,370z,nissan,370z
nissan,almera,nissan,almera
nissan,altima,nissan,altima
nissan,cabstar,nissan,cabstar
nissan,is lovely,nissan,is lovely
nissan,juke,nissan,juke
nissan,leaf,nissan,leaf
nissan,maxima,nissan,maxima
nissan,micra,nissan,micra
nissan,murano,nissan,murano
nissan,navara,nissan,navara
nissan,navara 4x4,nissan,navara
nissan,note,nissan,note
nissan,nv200,nissan,nv200
nissan,pathfinder,nissan,pathfinder
nissan,patrol,nissan,patrol
nissan,qashqai,nissan,qashqai
nissan,qashqai plus 2,nissan,qashqai
nissan,sentra,nissan,sentra
nissan,terrano,nissan,terrano
nissan,terrano long,nissan,terrano
nissan,tiida,nissan,tiida
nissan,winner 2x4,nissan,winner 2x4
nissan,winner 4x4,nissan,winner 4x4
nissan,x-trail,nissan,x-trail
nissan,xtrail,nissan,x-trail
opel,adam,opel,adam
opel,and yoro are long,opel,and yoro are long
opel,astra,opel,astra
opel,combo,opel,combo
opel,corsa,opel,corsa
opel,crossland x,opel,crossland
opel,grandland x,opel,grandland
opel,insignia,opel,insignia
opel,mocha,opel,mocha
opel,mokka x,opel,mokka
opel,quarrels,opel,quarrels
opel,vioro is short,opel,vioro is short
opel,zafira,opel,zafira
ora,funky cat,ora,funky cat
peugeot,106,peugeot,106
peugeot,107,peugeot,107
peugeot,108,peugeot,108
peugeot,2008,peugeot,2008
peugeot,206,peugeot,206
peugeot,206 +,peugeot,206+
peugeot,206cc,peugeot,206cc
peugeot,207,peugeot,207
peugeot,208,peugeot,208
peugeot,208 gti,peugeot,208 gti
peugeot,3008,peugeot,3008
peugeot,301,peugeot,301
peugeot,307,peugeot,307
peugeot,308,peugeot,308
peugeot,406,peugeot,406
peugeot,407,peugeot,407
peugeot,5008,peugeot,5008
peugeot,508,peugeot,508
peugeot,boxer,peugeot,boxer
peugeot,partner,peugeot,partner
peugeot,partner 2nd generation 20082017,peugeot,partner 2nd generation 20082017
peugeot,rcz,peugeot,rcz
polestar,2,polestar,2
polestar,polestar2,polestar,polestar 2
pontiac,solstice,pontiac,solstice
porsche,718 boxster,porsche,718 boxster
porsche,cayenne,porsche,cayenne
porsche,macan,porsche,macan
porsche,panamera,porsche,panamera
renault,arcana,renault,arcana
renault,arcana hybrid,renault,arcana hybrid
renault,capture,renault,captur
renault,clio,renault,clio
renault,clio 3rd generation 20062014,renault,clio 3rd generation 2006-2014
renault,clio 4th generation 20132019,renault,clio 4th generation 20132019
renault,clio 5th generation 2019 onwards,renault,clio 5th generation 2019 onwards
renault,clio estate,renault,clio estate
renault,fluence,renault,fluence
renault,grand scenic,renault,grand scenic
renault,kangoo,renault,kangoo
renault,kedgar,renault,kedgar
renault,koleos,renault,koleos
renault,latitud,renault,latitude
renault,logan mcv,renault,logan mcv
renault,master,renault,master
renault,megane,renault,megane
renault,megane 2nd generation 20042010,renault,megane 2nd generation 20042010
renault,megane coupe sport,renault,megane coupe sport
renault,megane estate/ grand tour,renault,megane estate/ grand tour
renault,megane grand coupe,renault,megane grand coupe
renault,scenic,renault,scenic
renault,scenic 3rd generation 20092014,renault,scenic 3rd generation 20092014
renault,traffic,renault,traffic
renault,trafic,renault,trafic
renault,twingo,renault,twingo
renault,u5,aiways,u5
renault,zoe,renault,zoe
saic,deliver 3,saic,deliver 3
saic,ehs phev,saic,ehs phev
saic,marvel r,saic,marvel r
saic,mg 350,saic,mg 350
saic,mg 550,saic,mg 550
saic,mg3,saic,mg3
saic,mg4,saic,mg4
saic,mg5,saic,mg5
saic,tge,saic,tge
saic,zs,saic,zs
seat,alhambra,seat,alhambra
seat,altea xl,seat,altea xl
seat,althea xl,seat,althea xl
seat,arona,seat,arona
seat,atka,seat,ateca
seat,ibiza,seat,ibiza
seat,leon,seat,leon
seat,mi mii,seat,mii
seat,mii,seat,mii
seat,toledo,seat,toledo
seat,traco,seat,tramo
seres,seres 3,seres,seres 3
skoda,aniac,skoda,aniac
skoda,citigo,skoda,citigo
skoda,fabia,skoda,fabia
skoda,fabia spice,skoda,fabia
skoda,kamik,skoda,kamik
skoda,karoq,skoda,karoq
skoda,kodiaq,skoda,kodiaq
skoda,octavia,skoda,octavia
skoda,octavia rs,skoda,octavia rs
skoda,rapid,skoda,rapid
skoda,roomster,skoda,roomster
skoda,scala,skoda,scala
skoda,superb,skoda,superb
skoda,superb 2019 onwards,skoda,superb
skoda,superb until 2019,skoda,superb
skoda,yeti,skoda,yeti
skywell,et5,skywell,et5
smart,#1,smart,#1
smart,1,smart,1
smart,porto,smart,porto
smart,purple,smart,purple
ssangyong,korando,ssangyong,korando
ssangyong,rexton,ssangyong,rexton
ssangyong,rodios,ssangyong,rodios
ssangyong,tivoli,ssangyong,tivoli
subaru,b3,subaru,b3
subaru,b3 hatchback,subaru,b3 hatchback
subaru,b3 sedan,subaru,b3 sedan
subaru,b4,subaru,b4
subaru,b9 tribeca,subaru,tribeca
subaru,brz,subaru,brz
subaru,crosstrek,subaru,crosstrek
subaru,evolites,subaru,evolites
subaru,forester,subaru,forester
subaru,impreza,subaru,impreza
subaru,impreza new age,subaru,impreza
subaru,impreza turbo,subaru,impreza
subaru,outback,subaru,outback
subaru,xv,subaru,crosstrek
suzuki,alto,suzuki,alto
suzuki,belno,suzuki,baleno
suzuki,celerio,suzuki,celerio
suzuki,grand vitra,suzuki,grand vitara
suzuki,ignis,suzuki,ignis
suzuki,jimny,suzuki,jimny
suzuki,liana,suzuki,liana
suzuki,splash,suzuki,splash
suzuki,swift,suzuki,swift
suzuki,sx4,suzuki,sx4
suzuki,sx4 crossover,suzuki,sx4
suzuki,vitra,suzuki,vitara
tesla,model 3,tesla,model 3
tesla,model y,tesla,model y
toyota,auris,toyota,auris
toyota,auris hybrid,toyota,auris hybrid
toyota,avalon hybrid,toyota,avalon hybrid
toyota,avensis,toyota,avensis
toyota,aygo,toyota,aygo
toyota,aygo aygo,toyota,aygo
toyota,aygo cross,toyota,aygo cross
toyota,aygo cross aygo x,toyota,aygo cross
toyota,bz4x,toyota,bz4x
toyota,c-hr,toyota,c-hr
toyota,camry,toyota,camry
toyota,chr,toyota,chr
toyota,city,toyota,city
toyota,corolla,toyota,corolla
toyota,corolla cross,toyota,corolla cross
toyota,corolla hybrid,toyota,corolla hybrid
toyota,corolla run-x,toyota,corolla run-x
toyota,gt86,toyota,gt86
toyota,hiace,toyota,hiace
toyota,highlander,toyota,highlander
toyota,hilux,toyota,hilux
toyota,hilux 2x4,toyota,hilux 2x4
toyota,hilux 4x4,toyota,hilux 4x4
toyota,hilux vigo,toyota,hilux vigo
toyota,hilux vigo 4x4,toyota,hilux vigo 4x4
toyota,land cruiser,toyota,land cruiser
toyota,land cruiser pardo,toyota,land cruiser prado
toyota,land cruiser v8,toyota,land cruiser v8
toyota,prius,toyota,prius
toyota,prius plug-in,toyota,prius plug-in
toyota,prius plugin,toyota,prius plug-in
toyota,prius plus hybrid,toyota,prius+ hybrid
toyota,rav4,toyota,rav4
toyota,rav4 hybrid,toyota,rav4 hybrid
toyota,rav4 is long,toyota,rav4
toyota,rav4 short,toyota,rav4
toyota,sequoia,toyota,sequoia
toyota,sienna,toyota,sienna
toyota,spice verso,toyota,spacio verso
toyota,starlet,toyota,starlet
toyota,supra,toyota,supra
toyota,verso,toyota,verso
toyota,yaris,toyota,yaris
toyota,yaris cross,toyota,yaris cross
toyota,yaris hybrid,toyota,yaris hybrid
volkswagen,arteon,volkswagen,arteon
volkswagen,beetle,volkswagen,beetle
volkswagen,caddy,volkswagen,caddy
volkswagen,caddy maxi,volkswagen,caddy maxi
volkswagen,commercialpassenger transporter,volkswagen,transporters
volkswagen,crafter,volkswagen,crafter
volkswagen,golf,volkswagen,golf
volkswagen,golf gti,volkswagen,golf gti
volkswagen,golf plus,volkswagen,golf plus
volkswagen,golf r,volkswagen,golf r
volkswagen,id.5,volkswagen,id.5
volkswagen,id3,volkswagen,id.3
volkswagen,id4,volkswagen,id.4
volkswagen,is ignorant,volkswagen,is ignorant
volkswagen,jetta,volkswagen,jetta
volkswagen,kravel,volkswagen,kravel
volkswagen,passat,volkswagen,passat
volkswagen,passat cc,volkswagen,passat cc
volkswagen,polo,volkswagen,polo
volkswagen,polo gti,volkswagen,polo gti
volkswagen,scirocco,volkswagen,scirocco
volkswagen,shiroko,volkswagen,scirocco
volkswagen,tiguan,volkswagen,tiguan
volkswagen,touareg,volkswagen,touareg
volkswagen,transporter,volkswagen,transporter
volvo,944,volvo,944
volvo,c40,volvo,c40
volvo,ex30,volvo,ex30
volvo,s40,volvo,s40
volvo,s60,volvo,s60
volvo,s80,volvo,s80
volvo,s90,volvo,s90
volvo,v40,volvo,v40
volvo,v40 cross country,volvo,v40 cross country
volvo,v60,volvo,v60
volvo,xc40,volvo,xc40
volvo,xc60,volvo,xc60
volvo,xc90,volvo,xc90
xpeng,p7,xpeng,p7
zeekr,x,zeekr,x
